qid,source_id,target_id,same_person,first,last,birth
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAACZcAw,True,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAACZcFw,True,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAACZUsg,True,Nils,Persson,1836-01-20
Q5893691,sj9PGLAlnmUAAAAAABgaiA,Di4a42b6X_AAAAAAAACpmg,False,Julius,Juhlin,1861-07-26
Q5893691,sj9PGLAlnmUAAAAAABUXEg,Di4a42b6X_AAAAAAAACpmg,False,Julius,Juhlin,1861-07-26
Q5553501,sj9PGLAlnmUAAAAAABgfGg,sj9PGLAlnmUAAAAAABgbgQ,True,Albert,Anderson,1831-11-16
Q5955465,rkIpfGqHXrAAAAAAAABQBw,rkIpfGqHXrAAAAAAAABQCA,True,Nils,Linder,1835-02-13
Q1712821,I_2wtd5VefAAAAAAAAASWg,I_2wtd5VefAAAAAAAAASVQ,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,I_2wtd5VefAAAAAAAAASVw,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,I_2wtd5VefAAAAAAAAASWA,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,I_2wtd5VefAAAAAAAAASWQ,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,seuNpYu6DKAAAAAAAABigw,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,sj9PGLAlnmUAAAAAAB2V3w,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,sj9PGLAlnmUAAAAAABGctQ,False,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,sj9PGLAlnmUAAAAAABL0Cw,True,Julius,Mankell,1828-00-00
Q1712821,I_2wtd5VefAAAAAAAAASWg,sj9PGLAlnmUAAAAAABS3dQ,False,Julius,Mankell,1828-00-00
Q1712821,sj9PGLAlnmUAAAAAABfNoA,I_2wtd5VefAAAAAAAAASVw,False,Julius,Mankell,1828-06-08
Q5969765,rkIpfGqHXrAAAAAAAACxpg,rkIpfGqHXrAAAAAAAACxpw,True,Carl,Lönnberg,1828-07-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,lzSYNK3ifoMAAAAAAAbclQ,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,sj9PGLAlnmUAAAAAABlGgQ,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,sj9PGLAlnmUAAAAAABlUCA,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,sj9PGLAlnmUAAAAAABZTGA,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACfIg,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACfJA,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACgAw,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACgBg,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACgBQ,False,Joachom,Beck-Friis,1856-05-24
Q5568204,sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAADfog,False,Joachom,Beck-Friis,1856-05-24
Q5568204,TNQaWo324IAAAAAAAACfIQ,TNQaWo324IAAAAAAAADfog,True,Carl,Beck-Friis,1856-05-24
Q5571488,TNQaWo324IAAAAAAAAC1uQ,WQknIBFpuuAAAAAAAAN2Vw,False,Nils,Berge,1869-00-00
Q5613442,sj9PGLAlnmUAAAAAABgeUA,sj9PGLAlnmUAAAAAAA7k-g,True,Hjalmar,Croneborg,1830-01-27
Q5590169,sj9PGLAlnmUAAAAAAA3a2w,sj9PGLAlnmUAAAAAAA3Lwg,True,Didrik,af Burén,1802-07-24
Q5590169,4e1scVvZ-EAAAAAAAAA68w,sj9PGLAlnmUAAAAAAA3Lwg,False,Didrik,af-Burén,1802-07-24
Q5901677,0piq-fX0h5AAAAAAAABK4Q,sj9PGLAlnmUAAAAAAA6ozA,True,Karl,Karlsson,1856-04-05
Q5901677,0piq-fX0h5AAAAAAAABK4Q,sj9PGLAlnmUAAAAAAA6ozQ,True,Karl,Karlsson,1856-04-05
Q6194477,sj9PGLAlnmUAAAAAABgaqg,YB0QHyfj0hAAAAAAAABbPw,False,Fredrik,Stånggren,1829-08-19
Q5618809,sj9PGLAlnmUAAAAAABgRpA,sj9PGLAlnmUAAAAAABgaJg,True,Robert,DeLaGardie,1823-12-17
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAAAwFw,False,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAAAwGA,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESg,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESQ,False,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESw,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABETQ,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAAB2V0A,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAACa-lg,True,Per,Murén,1805-05-12
Q5997630,I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAACa-lw,True,Per,Murén,1805-05-12
Q6014635,sj9PGLAlnmUAAAAAACcZ6Q,wbbNj8LLWMAAAAAAAAA4pA,False,Leonard Magnus,Nordenfelt,1827-07-29
Q6014635,sj9PGLAlnmUAAAAAABfTkw,wbbNj8LLWMAAAAAAAAA4pA,True,Leonard,Nordenfelt,1827-07-29
Q6243983,ciLMGSqrYjAAAAAAAABOzg,4e1scVvZ-EAAAAAAAAAnCA,True,Gustaf,Windahl,1860-12-28
Q6243983,ciLMGSqrYjAAAAAAAABOzg,ciLMGSqrYjAAAAAAAABOzQ,True,Gustaf,Windahl,1860-12-28
Q6243983,ciLMGSqrYjAAAAAAAABOzg,sj9PGLAlnmUAAAAAABlR1w,False,Gustaf,Windahl,1860-12-28
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeA,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeg,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeQ,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApew,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfA,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfQ,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfw,False,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAABNSg,True,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,mLh5P0pzYFAAAAAAAAArbw,False,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,sj9PGLAlnmUAAAAAABpA3Q,False,Walter,Kant,1872-02-20
Q110279970,0piq-fX0h5AAAAAAAAApfg,sj9PGLAlnmUAAAAAACehxA,False,Walter,Kant,1872-02-20
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAA3cg,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA4w,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5A,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5Q,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5w,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA6A,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA6Q,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAArQA,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAtHg,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABe2mA,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABKbPA,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABTWAw,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABUQLQ,True,Gustaf,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,lzSYNK3ifoMAAAAAAAbcfg,True,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,mLh5P0pzYFAAAAAAAAA4UA,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,mLh5P0pzYFAAAAAAAAA4UQ,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA-g,True,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5A,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5Q,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5w,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA6A,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA6Q,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAArQA,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAtHg,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAv6w,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAv9A,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABKB5w,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABKbPA,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABTWAw,False,Claes,Tamm,1838-08-10
Q6203642,seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABUQLQ,False,Claes,Tamm,1838-08-10
Q5598486,sj9PGLAlnmUAAAAAABfpNw,sj9PGLAlnmUAAAAAAA2Ixg,True,Mårten,Borgström,1830-07-31
Q5598486,sj9PGLAlnmUAAAAAABfpNw,sj9PGLAlnmUAAAAAABLitA,False,Mårten,Borgström,1830-07-31
Q5598486,sj9PGLAlnmUAAAAAABfpNw,TNQaWo324IAAAAAAAACZKg,True,Mårten,Borgström,1830-07-31
Q6051420,sj9PGLAlnmUAAAAAACZc0Q,sj9PGLAlnmUAAAAAABL9kA,False,von Carl,"Platen,",1833-07-08
Q6051420,sj9PGLAlnmUAAAAAACZc0Q,sj9PGLAlnmUAAAAAABq4PQ,False,von Carl,"Platen,",1833-07-08
Q434685,28K7pO-SRrAAAAAAAACTBA,sj9PGLAlnmUAAAAAAA4PZQ,False,Lea,Ahlborn,1826-02-18
Q434685,28K7pO-SRrAAAAAAAACTBA,VaM-WW8ntnAAAAAAAAAA-g,False,Lea,Ahlborn,1826-02-18
Q4947351,sj9PGLAlnmUAAAAAABfMkw,TR3yO_GV8eAAAAAAAAACZg,False,Elsa,Ewerlöf,1887-09-04
Q6199757,YB0QHyfj0hAAAAAAAABbtA,sj9PGLAlnmUAAAAAAB2WRA,False,Axel,Swartling,1840-03-18
Q5563944,sj9PGLAlnmUAAAAAAA2OpQ,sj9PGLAlnmUAAAAAAA2XeA,True,Johan,Bager,1818-07-11
Q16650012,wbbNj8LLWMAAAAAAAAA0QA,wbbNj8LLWMAAAAAAAAA0Pg,False,Jacob,Norblad,1839-09-11
Q16650012,wbbNj8LLWMAAAAAAAAA0QA,wbbNj8LLWMAAAAAAAAA0PQ,False,Jacob,Norblad,1839-09-11
Q16650012,wbbNj8LLWMAAAAAAAAA0QA,wbbNj8LLWMAAAAAAAAA0Sg,False,Jacob,Norblad,1839-09-11
Q16650012,wbbNj8LLWMAAAAAAAAA0QA,wbbNj8LLWMAAAAAAAAA0SQ,False,Jacob,Norblad,1839-09-11
Q16650012,wbbNj8LLWMAAAAAAAAA0QA,wbbNj8LLWMAAAAAAAAA0Sw,False,Jacob,Norblad,1839-09-11
Q541160,sj9PGLAlnmUAAAAAAA16QQ,sj9PGLAlnmUAAAAAAA23Dw,True,Helge,Backlund,1878-09-03
Q541160,sj9PGLAlnmUAAAAAAA16QQ,sj9PGLAlnmUAAAAAABJ7jQ,True,Helge,Backlund,1878-09-03
Q5873444,sj9PGLAlnmUAAAAAABfnmA,j6S8rJvx9lAAAAAAAABLVQ,False,Anders,Henrikson,1869-11-16
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACECQ,False,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFdg,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFdw,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFeA,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFeg,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFeg,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAACFeQ,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAADRhw,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,rkIpfGqHXrAAAAAAAADX9Q,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,seuNpYu6DKAAAAAAAABj1A,False,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,sj9PGLAlnmUAAAAAABGc3Q,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,sj9PGLAlnmUAAAAAABzpYw,True,Christian,Lovén,1835-03-12
Q5964257,sj9PGLAlnmUAAAAAABfNqg,WQknIBFpuuAAAAAAAANh7w,False,Christian,Lovén,1835-03-12
Q6193364,YB0QHyfj0hAAAAAAAABVNQ,YB0QHyfj0hAAAAAAAABVNA,True,Otto,Strömberg,1856-08-21
Q6193364,YB0QHyfj0hAAAAAAAABVNQ,YB0QHyfj0hAAAAAAAABVNg,True,Otto,Strömberg,1856-08-21
Q5956993,sj9PGLAlnmUAAAAAABfPBg,rkIpfGqHXrAAAAAAAABbbg,True,Ernst,Lindley,1878-02-18
Q104841633,sj9PGLAlnmUAAAAAABgaDQ,sj9PGLAlnmUAAAAAAA10aw,False,Pehr,Blidberg,1813-12-27
Q104841633,sj9PGLAlnmUAAAAAABgaDQ,sj9PGLAlnmUAAAAAAA1uFA,True,Pehr,Blidberg,1813-12-27
Q5820900,sj9PGLAlnmUAAAAAABgc3Q,j6S8rJvx9lAAAAAAAACOPQ,True,Julius,Högstedt,1851-12-25
Q5561102,sj9PGLAlnmUAAAAAABgfsg,sj9PGLAlnmUAAAAAAA3v7w,True,Axel,Asker,1848-01-20
Q4991099,sj9PGLAlnmUAAAAAABfkbw,ai4MrcHN22AAAAAAAAABNw,True,Märta,Öberg,1895-09-05
Q4991099,sj9PGLAlnmUAAAAAABfkbw,ai4MrcHN22AAAAAAAAABOA,True,Märta,Öberg,1895-09-05
Q4991099,sj9PGLAlnmUAAAAAABfkbw,ai4MrcHN22AAAAAAAAATcg,True,Märta,Öberg,1895-09-05
Q4991099,sj9PGLAlnmUAAAAAABfkbw,sj9PGLAlnmUAAAAAABZX0w,True,Märta,Öberg,1895-09-05
Q4991099,sj9PGLAlnmUAAAAAABfkbw,sj9PGLAlnmUAAAAAACeqIg,True,Märta,Öberg,1895-09-05
Q4547462,5TJc-sPXaKAAAAAAAAAnvQ,wbbNj8LLWMAAAAAAAABybw,True,J J,Nordström,1801-00-00
Q6232377,sj9PGLAlnmUAAAAAABga6Q,ciLMGSqrYjAAAAAAAAAarA,True,Karl,Ward,1888-01-29
Q6071609,sj9PGLAlnmUAAAAAABga6w,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstad,1807-10-18
Q6071609,sj9PGLAlnmUAAAAAAB4n_A,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstaf,1807-10-18
Q6071609,9Y5iReTPHdAAAAAAAAARqA,9Y5iReTPHdAAAAAAAAAQGQ,True,Carl,Ridderstad,1807-10-18
Q6071609,9Y5iReTPHdAAAAAAAAARqA,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstad,1807-10-18
Q6071609,4e1scVvZ-EAAAAAAAAAFOg,9Y5iReTPHdAAAAAAAAA7cw,False,Carl,Ridderstad,1807-10-18
Q6071609,4e1scVvZ-EAAAAAAAAAsOA,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstad,1807-10-18
Q6071609,9Y5iReTPHdAAAAAAAAARpw,9Y5iReTPHdAAAAAAAAAQGQ,True,Carl,Ridderstad,1807-10-18
Q6071609,9Y5iReTPHdAAAAAAAAARpw,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstad,1807-10-18
Q6071609,9Y5iReTPHdAAAAAAAABL0g,sj9PGLAlnmUAAAAAABMB0g,False,Carl,Ridderstad,1807-10-18
Q6256634,sj9PGLAlnmUAAAAAABgeJQ,ai4MrcHN22AAAAAAAAAEdA,True,Laurentius,Öhlin,1811-01-22
Q5562915,sj9PGLAlnmUAAAAAAA2h1w,28K7pO-SRrAAAAAAAAC52w,False,Severin,Axell,1843-10-22
Q5562915,sj9PGLAlnmUAAAAAAA2h1w,28K7pO-SRrAAAAAAAAC5vg,False,Severin,Axell,1843-10-22
Q5562915,sj9PGLAlnmUAAAAAAA2h1w,sj9PGLAlnmUAAAAAAA2rhw,True,Severin,Axell,1843-10-22
Q5562915,sj9PGLAlnmUAAAAAAA2h1w,sj9PGLAlnmUAAAAAAA3-TA,True,Severin,Axell,1843-10-22
Q5585998,sj9PGLAlnmUAAAAAABfb4Q,sj9PGLAlnmUAAAAAAA34mA,True,Oscar,Bremberg,1846-01-29
Q5585998,sj9PGLAlnmUAAAAAABfb4Q,sj9PGLAlnmUAAAAAAA3aJw,True,Oscar,Bremberg,1846-01-29
