,full_name,WikidataID,authorid,WD_Litteraturbanken,librisid,show,Littbank,LittbankJSON,WDHub
4250,Lo Dagerman,,DagermanL,Litterturbanken_only,n4ttvc6xlr2l5kbh,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/DagermanL'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/DagermanL'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:n4ttvc6xlr2l5kbh?site=wd'>Hub</a>
4224,Jonas Modig,,ModigJ,Litterturbanken_only,dbqt0qjx2xjwnvj,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ModigJ'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/ModigJ'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:dbqt0qjx2xjwnvj?site=wd'>Hub</a>
4219,Pehr August Elfvik,,ElfvikPA,Litterturbanken_only,dbqswrtx1smltwd,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ElfvikPA'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/ElfvikPA'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:dbqswrtx1smltwd?site=wd'>Hub</a>
4226,Anders Weidar,,WeidarA,Litterturbanken_only,sq47gngb38gms11,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/WeidarA'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/WeidarA'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:sq47gngb38gms11?site=wd'>Hub</a>
4742,Georg Henrik von Borneman,,BornemanGHvon,Litterturbanken_only,1zcfhsdk289zw81,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BornemanGHvon'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/BornemanGHvon'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:1zcfhsdk289zw81?site=wd'>Hub</a>
4278,Axel Quennerstedt,,QuennerstedtAxel,Litterturbanken_only,zw9dkmph1p54ssk,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/QuennerstedtAxel'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/QuennerstedtAxel'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:zw9dkmph1p54ssk?site=wd'>Hub</a>
4206,Emelie von Walterstorff,,WalterstorffE,Litterturbanken_only,g0f42z9pdv6j2gkk,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/WalterstorffE'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/WalterstorffE'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:g0f42z9pdv6j2gkk?site=wd'>Hub</a>
4246,A. W. Åberg,,ÅbergAW,Litterturbanken_only,nl0365l61w8ljhv,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ÅbergAW'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/ÅbergAW'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:nl0365l61w8ljhv?site=wd'>Hub</a>
4270,Sven Lagerbring,,LagerbringS,Litterturbanken_only,75kmn8dr3hgv75k,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LagerbringS'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/LagerbringS'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:75kmn8dr3hgv75k?site=wd'>Hub</a>
4272,Titus Lucretius Carus,,LucretiusCarusT,Litterturbanken_only,31fhjbgm10dfss9,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LucretiusCarusT'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/LucretiusCarusT'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:31fhjbgm10dfss9?site=wd'>Hub</a>
4304,Augusta Wästfelt,,WästfeltA,Litterturbanken_only,0fpvsjm7xfqd5lnf,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/WästfeltA'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/WästfeltA'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:0fpvsjm7xfqd5lnf?site=wd'>Hub</a>
4347,Johan Fransén,,FransénJ,Litterturbanken_only,bmlmb2pf80lw6b3h,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/FransénJ'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/FransénJ'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:bmlmb2pf80lw6b3h?site=wd'>Hub</a>
4476,Frans Johan Valbäck,,ValbäckFJ,Litterturbanken_only,gdsvzxn032qd1hm,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ValbäckFJ'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/ValbäckFJ'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:gdsvzxn032qd1hm?site=wd'>Hub</a>
4755,Homeros,,Homeros,Litterturbanken_only,0xbdfjvj5rjnrc0,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/Homeros'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/Homeros'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:0xbdfjvj5rjnrc0?site=wd'>Hub</a>
